sampleID,Feresa_strata,Haplotype
2605,Philippines,1
3944,other,2
5747,Philippines,3
5749,Philippines,1
9549,other,4
9550,other,4
9551,other,4
9552,other,4
9853,other,5
11707,other,6
11708,other,6
11709,other,6
11710,other,6
11711,other,7
18132,other,6
18133,other,6
18134,other,6
18135,other,8
18136,other,6
18137,other,6
30074,other,9
30075,other,9
30076,other,10
35855,other,10
35856,other,10
55171,other,11
55172,other,12
55173,other,11
61433,other,10
61434,other,10
61441,other,13
61925,other,11
67090,other,14
70977,other,10
71014,other,10
78825,other,15
94817,other,9
102488,other,10
102489,other,10
102490,other,10
114347,other,15
116522,other,16
116523,other,16
116524,other,16
116525,other,16
116526,other,16
116527,other,16
116823,other,11
116825,other,11
116826,other,11
123244,other,10
123336,other,17
123337,other,17
123338,other,17
145402,other,18
145403,other,10
157684,other,10
48132,other,2
159696,other,23
159697,other,23
159698,other,25
159699,other,23
159700,other,22
159701,other,24
159702,other,21
159703,other,2
159704,other,20
159705,other,20
159706,other,20
159707,other,2