LABID,Haplotype
143698,14
143699,15
143700,36
143702,15
143703,2
143704,2
143705,One from 2
143706,14
143707,Two from 2
143708,14
143709,14
143710,36
143711,One from 1
143713,14
143715,14
143716,1
159713,13
159714,13
159715,13
159716,1
159717,One from 13
159718,13
159720,14
159721,14
159722,14
159723,14
159724,Weird
159725,14
159726,14
159751,15
159752,44
159753,14
159755,One from 2
159756,2
159758,2
159759,2
159760,15
159762,2
159763,15
185367,16
185368,1
185369,16
185370,1
185371,16
185373,1
185375,1
185376,1
185377,16
185378,1
197362,2
197363,2
197364,2
197365,2