LABID,Latitude,Longitude,Mitogenome haplotype,CR haplotype,Location,Contibutor,Control Region GenBank Accession #,Mitogenome Genbank Accession #
25,27.1,-82.45,mtGen07,mtGen07,VENICE BEACH,,,
27,27.1,-82.45,mtGen07,mtGen07,VENICE BEACH,,,
149,34.37,-75.65,,D,NORTH CAROLINA,,,
150,34.37,-75.65,,D,NORTH CAROLINA,,,
151,34.37,-75.65,,D,NORTH CAROLINA,,,
152,38.71,-74.87,,D,DELAWARE,,,
153,36.98,-56.93,,D,WESTERN NATL,,,
154,36.98,-56.93,,D,WESTERN NATL,,,
155,36.98,-56.93,,D,WESTERN NATL,,,
156,36.98,-56.93,,D,WESTERN NATL,,,
157,36.98,-56.93,,D,WESTERN NATL,,,
158,36.98,-56.93,,D,WESTERN NATL,,,
257,41.35,-62.46,,D,WESTERN NATL,,,
537,38.65,-75.066666,,D,DELAWARE,,,
2819,33.916666,-75.216666,mtGen08,D,"HOLDEN BEACH, NORTH CAROLINA",,,
3031,29.066666,-95.133333,,D,"USA, TX, BRAZORIA CO.",,,
8671,29.283333,-81.033333,mtGen08,D,"USA, FL, VOLUSIA CO., ORMOND BEACH",,,
48090,18.683333,-64.283333,mtGen77,15,"CAYMAN ISLANDS, BRITISH VIRGIN ISLANDS, ANEGADA",,,
48091,18.683333,-64.283333,mtGen78,mtGen78,"CAYMAN ISLANDS, BRITISH VIRGIN ISLANDS, ANEGADA",,,
48103,10.516666,-61.05,mtGen79,A,COCOS BAY,,,
79790,26.366666,-78.583333,mtGen08,D,South Grand Bahama,,,
79793,26.383333,-78.566666,,D,South Grand Bahama,,,
89564,24.9,-76.716666,,D,North Exuma,,,
112730,25.2828,-77.995,mtGen08,D,N Andros,,,
112731,25.2837,-77.9948,mtGen08,D,N Andros,,,
126092,24.65,-77.616666,,D,"Central Andros, AUTEC",,,
175339,13.2407,-61.3233,mtGen25,mtGen25,Barrouallie,,,
175340,13.2407,-61.3233,mtGen25,mtGen25,Barrouallie,,,
175778,34.4733,-74.325,mtGen07,mtGen07,NW Atlantic,,,
175780,35.1408,-75.0187,mtGen92,mtGen92,NW Atlantic,,,
175782,35.7372,-73.857,mtGen32,mtGen32,NW Atlantic,,,
175785,33.1583,-77.0427,mtGen94,mtGen94,NW Atlantic,,,
175786,38.697,-70.3152,mtGen95,mtGen95,NW Atlantic,,,
175787,39.8767,-71.1483,mtGen07,mtGen07,NW Atlantic,,,
175788,39.8967,-71.09,mtGen07,mtGen07,NW Atlantic,,,
175838,28.0354,-16.8,mtGen96,mtGen96,"Tenerife, Los Cristianos",,,
175839,28.0354,-16.8,mtGen26,mtGen26,"Tenerife, Los Cristianos",,,
175840,28.0354,-16.8,mtGen26,mtGen26,"Tenerife, Los Cristianos",,,
175842,28.0354,-16.8,mtGen27,mtGen27,"Tenerife, Los Cristianos",,,
175844,28.0354,-16.8,mtGen97,mtGen97,"Tenerife, Los Cristianos",,,
175845,28.0354,-16.8,mtGen27,mtGen27,"Tenerife, Los Cristianos",,,
121,18.71,-66.93,,A,PUERTO RICO,,,
48104,10.516666,-61.05,,A,COCOS BAY,,,
48105,10.516666,-61.05,,A,COCOS BAY,,,
48112,10.516666,-61.05,,A,COCOS BAY,,,
143674,25.3533,-77.9777,NA,NA,S Berry Is,,,
175342,13.2407,-61.3233,NA,NA,Barrouallie,,,
175343,13.2407,-61.3233,NA,NA,Barrouallie,,,
175781,35.6422,-74.7223,NA,NA,NW Atlantic,,,
48080,18.516666,-67.033333,mtGen12,mtGen12,ISABELA,,,
175341,13.2407,-61.3233,mtGen12,mtGen12,Barrouallie,,,
175779,38.11,-70.23,mtGen91,mtGen91,NW Atlantic,,,
175783,36.9946,-73.7966,mtGen93,mtGen93,NW Atlantic,,,
175784,36.9928,-73.8332,mtGen12,mtGen12,NW Atlantic,,,
173995,21,-157.666666,,D,"Lanai, Shipwreck Beach",,,
122,-38.08,-179.81,,C,NEW ZEALAND,,,
123,-38.08,-179.81,,C,NEW ZEALAND,,,
124,-17.59,-149.73,,C,MOOREA,,,
125,-17.59,-149.73,,C,MOOREA,,,
126,-17.59,-149.73,,C,MOOREA,,,
127,-17.59,-149.73,,C,MOOREA,,,
128,-17.59,-149.73,,C,MOOREA,,,
129,-17.59,-149.73,,C,MOOREA,,,
130,-17.59,-149.73,,C,MOOREA,,,
131,-17.59,-149.73,,C,MOOREA,,,
132,-17.59,-149.73,,C,MOOREA,,,
133,-17.59,-149.73,,C,MOOREA,,,
134,-17.59,-149.73,,C,MOOREA,,,
135,-13.69,-172.03,,C,SAMOA,,,
136,-13.69,-172.03,,C,SAMOA,,,
137,-13.69,-172.03,,C,SAMOA,,,
138,-21.32,166.59,,C,NEW CALEDONIA,,,
139,34.02,134.92,,C,SOUTHERN JAPAN (MARKET),,,
140,34.02,134.92,,C,SOUTHERN JAPAN (MARKET),,,
141,34.02,134.92,,C,SOUTHERN JAPAN (MARKET),,,
142,34.02,134.92,,C,SOUTHERN JAPAN (MARKET),,,
143,34.02,134.92,,C,SOUTHERN JAPAN (MARKET),,,
144,34.02,134.92,,C,SOUTHERN JAPAN (MARKET),,,
145,34.02,134.92,,C,SOUTHERN JAPAN (MARKET),,,
146,34.02,134.92,,C,SOUTHERN JAPAN (MARKET),,,
147,26.35,127.55,,C,SOUTHERN JAPAN (MARKET),,,
148,26.35,127.55,,C,SOUTHERN JAPAN (MARKET),,,
252,-38.91,179.01,,C,NEW ZEALAND,,,
253,-38.91,179.01,,C,NEW ZEALAND,,,
30529,21.8,-160.733333,,C,NI'IHAU,,,
30535,23.683333,-149.083333,mtGen53,11,HI IFS,,,
33295,-39.333333,177.5,mtGen11,C,HAWKE'S BAY,,,
33296,-39.333333,177.5,mtGen11,C,HAWKE'S BAY,,,
33297,-39.333333,177.5,mtGen11,C,HAWKE'S BAY,,,
49063,4.7,-163.883333,mtGen65,mtGen65,"USA, PALMYRA",,,
79766,-14.3,-170.533333,mtGen70,C,AMERICAN SAMOA,,,
104051,15.3,145.7,mtGen71,mtGen71,SAIPAN,,,
114348,25.050556,-155.083333,mtGen73,2,"NORTH EASTERN PACIFIC OCEAN, NORTH OF HAWAIIAN ISLANDS",,,
116839,13.432102,144.602026,mtGen20,C,4.76km SSW Orote Pt.,,,
143731,13.366986,144.61859,NA,C,"Guam, 2.8km WNW Agat Marina",,,
143732,13.351009,144.621692,NA,C,"Guam, 2.8km WNW Agat Marina",,,
157266,-23.6651,43.6376,mtGen85,mtGen85,Anakao,,,
157434,-13.5524,47.761,mtGen23,mtGen23,Nosy Iranja,,,
157435,-13.5524,47.761,mtGen23,mtGen23,Nosy Iranja,,,
174884,-17.466,-149.8442,mtGen24,mtGen24,Moorea,,,
174886,-17.466,-149.8442,mtGen24,mtGen24,Moorea,,,
174887,-17.466,-149.8442,mtGen13,mtGen13,Moorea,,,
174888,-13.671833,-172.141433,mtGen04,mtGen04,Apia to Savaii,,,
174889,-13.674216,-172.13905,mtGen04,mtGen04,Apia to Savaii,,,
174890,-13.673783,-172.139016,mtGen04,mtGen04,Apia to Savaii,,,
174891,-13.52755,-172.832,mtGen04,mtGen04,Savaii,,,
174892,-13.537316,-172.827016,mtGen04,mtGen04,Savaii,,,
174895,-15.9325,-145.225,mtGen89,mtGen89,Kauehi,,,
174896,-15.9325,-145.225,mtGen20,C,Kauehi,,,
174897,-13.3035,-172.6256,mtGen04,mtGen04,Savai'i,,,
174898,-13.3035,-172.6256,mtGen90,mtGen90,Savai'i,,,
174901,-8.911976,-139.663942,mtGen14,mtGen14,Marquesas-Ua Huka,,,
174902,-8.909686,-139.664286,mtGen14,mtGen14,Marquesas-Ua Huka,,,
174903,-8.903876,-139.665905,mtGen14,mtGen14,Marquesas-Ua Huka,,,
174904,-9.414471,-140.212095,mtGen13,mtGen13,Marquesas-Ua Pou,,,
174906,-9.433955,-140.204074,mtGen13,mtGen13,Marquesas-Ua Pou,,,
175955,-16.9,122.466667,mtGen34,mtGen34,Sandy Point,,,
100,-40.23,178.57,,A,NEW ZEALAND,,,
101,-40.23,178.57,,A,NEW ZEALAND,,,
102,-40.23,178.57,,A,NEW ZEALAND,,,
103,-40.23,178.57,,A,NEW ZEALAND,,,
104,-17.59,-149.83,,A,MOOREA,,,
105,-17.59,-149.83,,A,MOOREA,,,
106,-17.59,-149.83,,A,MOOREA,,,
107,-17.59,-149.83,,A,MOOREA,,,
108,-17.59,-149.83,,A,MOOREA,,,
109,-17.59,-149.83,,A,MOOREA,,,
110,-17.59,-149.83,,A,MOOREA,,,
111,-17.59,-149.83,,A,MOOREA,,,
112,-17.59,-149.83,,A,MOOREA,,,
113,-17.59,-149.83,,A,MOOREA,,,
114,-17.59,-149.83,,A,MOOREA,,,
115,-17.59,-149.83,,A,MOOREA,,,
116,-21.08,165.63,,A,NEW CALEDONIA,,,
117,-21.08,165.63,,A,NEW CALEDONIA,,,
118,-21.08,165.63,,A,NEW CALEDONIA,,,
119,-21.08,165.63,,A,NEW CALEDONIA,,,
250,-38.91,179.01,,A,NEW ZEALAND,,,
251,-38.91,179.01,,13,NEW ZEALAND,,,
254,-17.61,-149.14,,A,FRENCH POLYNESIA,,,
256,-17.44,-149.75,,B,MOOREA,,,
9864,5.416666,73.25,,A,MALDIVES,,,
33298,-39.333333,177.5,,A,HAWKE'S BAY,,,
33299,-39.333333,177.5,,A,HAWKE'S BAY,,,
33863,21.566666,-158.35,NA,NA,OAHU,,,
51030,21.75,-159.483333,NA,NA,KAUAI,,,
61916,19.516666,-156.016666,NA,NA,BIG ISLAND,,,
88593,19.4,-156.033333,NA,NA,BIG ISLAND,,,
104025,13.583333,144.766666,NA,A,Guam,,,
104026,13.583333,144.766666,,A,Guam,,,
112649,19.59104,-156.07596,NA,NA,BIG ISLAND,,,
112661,19.71491,-156.10922,NA,NA,BIG ISLAND,,,
114808,19.56679,-156.03244,NA,NA,BIG ISLAND,,,
114960,23.609452,-166.328195,NA,NA,27 km SSW of Tern Island,,,
175957,-32.283333,115.683333,NA,NA,SHOALWATER BAY,,,
34,21.55,-157.866666,,J,SWFSC-HI,,,
171,33.71,130.17,,G,SOUTHERN JAPAN (MARKET),,,
172,34.08,134.96,,G,SOUTHERN JAPAN (MARKET),,,
173,34.08,134.96,,G,SOUTHERN JAPAN (MARKET),,,
174,33.98,134.84,,H,SOUTHERN JAPAN (MARKET),,,
175,34.54,135.21,,I,SOUTHERN JAPAN (MARKET),,,
176,34.18,134.91,,I,SOUTHERN JAPAN (MARKET),,,
177,34.18,134.91,,I,SOUTHERN JAPAN (MARKET),,,
178,26.26,137.64,,I,SOUTHERN JAPAN (MARKET),,,
179,26.26,137.64,,I,SOUTHERN JAPAN (MARKET),,,
180,26.26,137.64,,I,SOUTHERN JAPAN (MARKET),,,
181,26.26,137.64,,I,SOUTHERN JAPAN (MARKET),,,
182,35.55,139.88,,I,SOUTHERN JAPAN,,,
183,35.55,139.88,,I,SOUTHERN JAPAN,,,
184,35.55,139.88,,I,SOUTHERN JAPAN,,,
185,35.55,139.88,,I,SOUTHERN JAPAN,,,
186,35.55,139.88,,I,SOUTHERN JAPAN,,,
187,35.55,139.88,,I,SOUTHERN JAPAN,,,
188,35.55,139.88,,I,SOUTHERN JAPAN,,,
189,35.55,139.88,,I,SOUTHERN JAPAN,,,
190,26.33,127.62,,J,SOUTHERN JAPAN (MARKET),,,
191,26.33,127.62,,J,SOUTHERN JAPAN (MARKET),,,
192,26.33,127.62,,J,SOUTHERN JAPAN (MARKET),,,
193,35.59,139.95,,J,SOUTHERN JAPAN,,,
194,34.03,135.03,,K,SOUTHERN JAPAN (MARKET),,,
195,34.57,135.36,,K,SOUTHERN JAPAN (MARKET),,,
196,26.34,137.53,,K,SOUTHERN JAPAN (MARKET),,,
197,26.34,137.53,,K,SOUTHERN JAPAN (MARKET),,,
198,26.34,137.53,,K,SOUTHERN JAPAN (MARKET),,,
199,32.41,133.79,,K,SOUTHERN JAPAN (MARKET),,,
200,32.41,133.79,,K,SOUTHERN JAPAN (MARKET),,,
201,35.61,139.85,,K,SOUTHERN JAPAN,,,
202,35.61,139.85,,K,SOUTHERN JAPAN,,,
203,35.61,139.85,,K,SOUTHERN JAPAN,,,
204,35.61,139.85,,K,SOUTHERN JAPAN,,,
205,35.61,139.85,,K,SOUTHERN JAPAN,,,
206,35.61,139.85,,K,SOUTHERN JAPAN,,,
207,33.45,134.74,,L,SOUTHERN JAPAN (MARKET),,,
208,34.07,134.75,,L,SOUTHERN JAPAN (MARKET),,,
209,34.55,135.19,,L,SOUTHERN JAPAN (MARKET),,,
210,35.56,140.04,,M,SOUTHERN JAPAN (MARKET),,,
211,35.56,140.04,,M,SOUTHERN JAPAN (MARKET),,,
212,34.06,134.94,,M,SOUTHERN JAPAN (MARKET),,,
213,34.06,134.94,,M,SOUTHERN JAPAN (MARKET),,,
214,34.06,134.94,,M,SOUTHERN JAPAN (MARKET),,,
215,34.06,134.94,,M,SOUTHERN JAPAN (MARKET),,,
216,34.06,134.94,,M,SOUTHERN JAPAN (MARKET),,,
217,34.06,134.94,,M,SOUTHERN JAPAN (MARKET),,,
218,34.06,134.94,,M,SOUTHERN JAPAN (MARKET),,,
219,34.06,134.94,,M,SOUTHERN JAPAN (MARKET),,,
220,34.06,134.94,,M,SOUTHERN JAPAN (MARKET),,,
221,35.45,129.4,,M,SOUTHERN JAPAN (MARKET),,,
223,35.55,139.81,,M,SOUTHERN JAPAN,,,
224,35.55,139.81,,M,SOUTHERN JAPAN,,,
225,35.55,139.81,,M,SOUTHERN JAPAN,,,
226,35.55,139.81,,M,SOUTHERN JAPAN,,,
227,35.55,139.81,,M,SOUTHERN JAPAN,,,
228,35.55,139.81,,M,SOUTHERN JAPAN,,,
229,35.55,139.81,,M,SOUTHERN JAPAN,,,
230,35.55,139.81,,M,SOUTHERN JAPAN,,,
231,35.55,139.81,,M,SOUTHERN JAPAN,,,
232,35.55,139.81,,M,SOUTHERN JAPAN,,,
233,35.55,139.81,,M,SOUTHERN JAPAN,,,
234,35.55,139.81,,M,SOUTHERN JAPAN,,,
235,35.55,139.81,,M,SOUTHERN JAPAN,,,
236,35.55,139.81,,M,SOUTHERN JAPAN,,,
237,35.55,139.81,,M,SOUTHERN JAPAN,,,
238,35.55,139.81,,M,SOUTHERN JAPAN,,,
239,35.55,139.81,,M,SOUTHERN JAPAN,,,
240,35.55,139.81,,M,SOUTHERN JAPAN,,,
241,35.55,139.81,,M,SOUTHERN JAPAN,,,
242,35.55,139.81,,M,SOUTHERN JAPAN,,,
243,34.13,134.98,,N,SOUTHERN JAPAN (MARKET),,,
244,34.13,134.98,,N,SOUTHERN JAPAN (MARKET),,,
258,35.45,129.4,,M,SOUTHERN JAPAN (MARKET),,,
9850,4.866666,73.483333,mtGen10,A,MALDIVES,,,
9869,4.966666,73.55,mtGen10,A,MALDIVES,,,
9871,4.25,73.616666,mtGen37,K,MALDIVES,,,
9872,4,73.566666,mtGen10,A,MALDIVES,,,
9873,4,73.566666,mtGen75,A,MALDIVES,,,
11478,19.333333,-156.066666,,J,BIG ISLAND,,,
11479,19.333333,-156.066666,,J,BIG ISLAND,,,
11481,19.333333,-156.066666,,J,BIG ISLAND,,,
11482,19.333333,-156.066666,,J,BIG ISLAND,,,
11483,19.333333,-156.066666,,J,BIG ISLAND,,,
11484,19.333333,-156.066666,,J,BIG ISLAND,,,
13367,8.7,122.74,mtGen46,14,"SAITON, MALABUHAN",,,
18528,19.233333,-155.983333,,J,KONA COAST,,,
18529,19.233333,-155.983333,,J,KONA COAST,,,
18530,19.233333,-155.983333,,J,KONA COAST,,,
18531,19.233333,-155.983333,,J,KONA COAST,,,
18532,19.233333,-155.983333,,J,KONA COAST,,,
18533,19.233333,-155.983333,,J,KONA COAST,,,
18939,21,-157,,J,LANAI (SW),,,
18940,21,-157,,J,LANAI (SW),,,
18941,21,-157,mtGen01,J,LANAI (SW),,,
18942,21,-157,,J,LANAI (SW),,,
18947,21,-157.666666,,J,LANAI (SW),,,
18948,21,-157.666666,,J,LANAI (SW),,,
18951,21,-157,,J,LANAI (SW),,,
18952,21,-157,,J,LANAI (SW),,,
18953,21,-157,mtGen01,J,LANAI (SW),,,
23968,10.6,103.6,mtGen50,K,"CAMBODIA, KEP",,,
27398,19.633333,-156.066666,,J,KONA COAST,,,
27407,19.3,-155.95,,J,KONA COAST,,,
27408,19.3,-155.95,,J,KONA COAST,,,
27409,19.3,-155.95,,J,KONA COAST,,,
27410,19.3,-155.95,,J,KONA COAST,,,
27412,19.55,-156.033333,,J,KONA COAST,,,
27417,19.533333,-156.033333,,J,KONA COAST,,,
30056,19.6,-156.05,,J,BIG ISLAND,,,
30059,19.6,-156.05,,J,BIG ISLAND,,,
30060,19.6,-156.05,,J,BIG ISLAND,,,
30061,19.7,-156.083333,,J,BIG ISLAND,,,
30062,19.7,-156.083333,,J,BIG ISLAND,,,
30063,19.7,-156.083333,,J,BIG ISLAND,,,
30069,19.616666,-156.083333,,J,BIG ISLAND,,,
30070,19.616666,-156.083333,,J,BIG ISLAND,,,
30082,19.5,-156,,J,BIG ISLAND,,,
30083,19.5,-156,,J,BIG ISLAND,,,
30084,19.5,-156,,J,BIG ISLAND,,,
30085,19.5,-156,,J,BIG ISLAND,,,
30086,19.5,-156,,J,BIG ISLAND,,,
30435,24.983333,-171.85,mtGen51,J,NWHI,,,
30436,24.983333,-171.85,mtGen01,J,NWHI,,,
30437,24.116666,-168.516666,,J,NWHI,,,
30438,24.116666,-168.516666,,J,NWHI,,,
30439,24.116666,-168.516666,mtGen01,J,NWHI,,,
30440,24.116666,-168.516666,,12,NWHI,,,
30441,24.116666,-168.516666,,J,NWHI,,,
30442,24.116666,-168.516666,mtGen52,12,NWHI,,,
30443,24.116666,-168.516666,,12,NWHI,,,
30444,24.116666,-168.516666,mtGen76,J,NWHI,,,
30445,24.116666,-168.516666,,J,NWHI,,,
30446,24.116666,-168.516666,,12,NWHI,,,
30447,24.116666,-168.516666,,J,NWHI,,,
30448,24.116666,-168.516666,,12,NWHI,,,
30455,20.4,-156.633333,,J,KAHOOLAWE,,,
30456,20.4,-156.633333,,J,KAHOOLAWE,,,
30457,20.4,-156.633333,,J,KAHOOLAWE,,,
30458,20.4,-156.633333,,J,KAHOOLAWE,,,
30459,20.4,-156.633333,,J,KAHOOLAWE,,,
30460,20.4,-156.633333,,J,KAHOOLAWE,,,
30461,20.4,-156.633333,,J,KAHOOLAWE,,,
30462,20.4,-156.633333,,J,KAHOOLAWE,,,
30463,20.4,-156.633333,,J,KAHOOLAWE,,,
30464,20.4,-156.633333,,J,KAHOOLAWE,,,
30465,20.4,-156.633333,,J,KAHOOLAWE,,,
30476,25.35,-176.133333,NA,J,NWHI,,,
30508,20.6,-156.966666,,J,LANAI,,,
30511,20.6,-156.966666,,J,LANAI,,,
30518,22.45,-159.766666,NA,J,KAUAI,,,
30519,22.45,-159.766666,,J,KAUAI,,,
30520,22.45,-159.766666,,J,KAUAI,,,
30521,22.45,-159.766666,,J,KAUAI,,,
30527,21.8,-160.733333,,J,NI'IHAU,,,
30528,21.8,-160.733333,,J,NI'IHAU,,,
30530,21.8,-160.733333,,J,NI'IHAU,,,
30531,21.8,-160.733333,,J,NI'IHAU,,,
30532,21.8,-160.7,,J,NI'IHAU,,,
30533,21.8,-160.7,,J,NI'IHAU,,,
33294,-39.333333,177.5,mtGen54,A,"NEW ZEALAND, NORTHLAND",,,
33791,20.85,-157.15,,J,LANAI,,,
33795,20.833333,-157.133333,,J,LANAI,,,
33796,20.833333,-157.15,,J,LANAI,,,
33797,20.85,-157.15,,J,LANAI,,,
33798,20.733333,-157.116666,mtGen01,J,LANAI,,,
33806,20.716666,-157.133333,,J,LANAI,,,
33807,20.716666,-157.133333,,J,LANAI,,,
33808,20.716666,-157.133333,,J,LANAI,,,
33809,20.7,-157.133333,,J,LANAI,,,
33810,20.7,-157.133333,,J,LANAI,,,
33811,20.683333,-157.133333,,J,LANAI,,,
33812,20.716666,-157.133333,,J,LANAI,,,
33813,20.716666,-157.133333,NA,J,LANAI,,,
33814,20.716666,-157.133333,mtGen18,J,LANAI,,,
33815,20.733333,-157.133333,,J,LANAI,,,
33851,21.516666,-158.35,mtGen01,J,OAHU,,,
33852,21.516666,-158.35,mtGen01,J,OAHU,,,
33860,21.55,-158.333333,NA,J,OAHU,,,
33861,21.55,-158.333333,mtGen05,J,OAHU,,,
33862,21.566666,-158.35,,J,OAHU,,,
33878,21.316666,-158.283333,NA,J,OAHU,,,
33879,21.316666,-158.283333,mtGen05,J,OAHU,,,
33880,21.316666,-158.283333,NA,J,OAHU,,,
33881,21.316666,-158.266666,NA,J,OAHU,,,
33882,21.316666,-158.266666,NA,J,OAHU,,,
33883,21.316666,-158.266666,NA,J,OAHU,,,
33911,21.516666,-158.3,,J,OAHU,,,
33912,21.516666,-158.3,,J,OAHU,,,
33913,21.5,-158.283333,,K,OAHU,,,
33914,21.533333,-158.316666,,J,OAHU,,,
33915,21.516666,-158.3,,J,OAHU,,,
33916,21.516666,-158.3,mtGen01,J,OAHU,,,
33917,21.516666,-158.3,,J,OAHU,,,
33939,21.85,-159.95,,J,NI'IHAU,,,
33940,21.85,-159.95,NA,J,NI'IHAU,,,
33941,21.85,-159.95,mtGen01,J,NI'IHAU,,,
33948,21.85,-159.95,,J,NI'IHAU,,,
33949,21.85,-159.95,,J,NI'IHAU,,,
33980,21.9,-159.766666,NA,J,KAUAI,,,
33981,21.916666,-159.766666,mtGen55,J,KAUAI,,,
33982,21.916666,-159.783333,NA,J,KAUAI,,,
33983,21.916666,-159.783333,NA,J,KAUAI,,,
33984,21.916666,-159.8,NA,J,KAUAI,,,
33985,21.916666,-159.8,NA,J,KAUAI,,,
33990,21.916666,-159.766666,NA,J,KAUAI,,,
33991,21.916666,-159.766666,,J,KAUAI,,,
33992,21.916666,-159.766666,,J,KAUAI,,,
45934,19.766666,-156.1,mtGen01,J,BIG ISLAND,,,
49070,4.533333,-163.5,mtGen66,mtGen66,PALMYRA,,,
51015,21.916666,-159.733333,NA,J,KAUAI,,,
51023,21.85,-159.633333,,J,KAUAI,,,
51025,21.85,-159.65,NA,J,KAUAI,,,
51026,21.85,-159.65,NA,J,KAUAI,,,
51028,21.75,-159.5,NA,J,KAUAI,,,
51029,21.75,-159.5,mtGen67,J,KAUAI,,,
