LABID,Latitude,Longitude,Mitogenome haplotype,CR haplotype,Location,Contibutor,Control Region GenBank Accession #,Mitogenome Genbank Accession #
51031,21.933333,-159.833333,NA,J,KAUAI,,,
51032,21.933333,-159.833333,NA,J,KAUAI,,,
51033,21.933333,-159.833333,NA,J,KAUAI,,,
51064,21.9,-159.7,,J,KAUAI,,,
55157,19.766666,-156.15,NA,J,BIG ISLAND,,,
55160,19.383333,-155.966666,NA,J,BIG ISLAND,,,
55161,19.3,-155.933333,NA,J,BIG ISLAND,,,
55165,19.45,-156.016666,NA,J,BIG ISLAND,,,
55175,19.683333,-156.083333,NA,J,BIG ISLAND,,,
55209,19.116666,-156,,J,BIG ISLAND,,,
55226,19.716666,-156.15,NA,J,BIG ISLAND,,,
55227,19.716666,-156.15,NA,J,BIG ISLAND,,,
55228,19.7,-156.15,NA,J,BIG ISLAND,,,
55229,19.7,-156.15,NA,J,BIG ISLAND,,,
55230,19.683333,-156.15,NA,J,BIG ISLAND,,,
55234,19.55,-156.033333,mtGen01,J,BIG ISLAND,,,
55238,19.433333,-155.983333,NA,J,BIG ISLAND,,,
55239,19.433333,-155.983333,mtGen01,J,BIG ISLAND,,,
55240,19.433333,-155.983333,NA,J,BIG ISLAND,,,
55241,19.383333,-155.95,NA,J,BIG ISLAND,,,
55242,19.383333,-155.95,NA,J,BIG ISLAND,,,
55243,19.383333,-155.95,NA,J,BIG ISLAND,,,
55244,19.333333,-155.916666,NA,J,BIG ISLAND,,,
55248,19.65,-156.066666,NA,J,BIG ISLAND,,,
55254,19.666666,-156.1,NA,J,BIG ISLAND,,,
61918,19.683333,-156.133333,NA,J,BIG ISLAND,,,
61924,19.266666,-155.933333,,J,BIG ISLAND,,,
61936,19.433333,-156.083333,NA,J,BIG ISLAND,,,
61939,19.433333,-156.066666,NA,J,BIG ISLAND,,,
73899,19.25,-155.933333,NA,J,BIG ISLAND,,,
73901,20.116666,-156.066666,NA,J,BIG ISLAND,,,
74708,28.533333,-147.333333,mtGen68,K,"HI IFS, NORTH OF HAWAIIAN ISLANDS",,,
78785,-3.133333,-167.366666,mtGen19,mtGen19,"High Seas, 470km E of Canton Is.",,,
78786,-3.133333,-167.366666,mtGen19,mtGen19,"High Seas, 470km E of Canton Is.",,,
78787,-3.133333,-167.366666,mtGen69,K,"High Seas, 470km E of Canton Is.",,,
78810,19.216666,-155.916666,NA,J,Main Hawaiian Islands,,,
78812,19.233333,-155.916666,NA,J,Main Hawaiian Islands,,,
78815,19.233333,-155.883333,NA,J,Main Hawaiian Islands,,,
79976,19.683333,-156.133333,NA,J,BIG ISLAND,,,
79978,19.616666,-156.05,NA,J,BIG ISLAND,,,
79980,19.566666,-156.033333,NA,J,BIG ISLAND,,,
79992,19.383333,-155.95,mtGen01,J,BIG ISLAND,,,
80005,19.25,-156.083333,NA,J,BIG ISLAND,,,
88591,19.5,-156.2,NA,J,BIG ISLAND,,,
88594,19.766666,-156.1,mtGen05,J,BIG ISLAND,,,
92242,21.583333,-158.35,mtGen18,J,OAHU,,,
94818,19.333333,-155.983333,NA,J,BIG ISLAND,,,
94820,19.333333,-155.966666,NA,J,BIG ISLAND,,,
102487,21.25,-158.2,,J,OAHU,,,
102493,20.983333,-158.133333,,J,OAHU,,,
102494,20.983333,-158.133333,mtGen01,J,OAHU,,,
102495,20.983333,-158.183333,,J,OAHU,,,
104024,13.583333,144.766666,mtGen03,A,Guam,,,
104027,13.6,144.766666,mtGen03,A,Guam,,,
104028,13.6,144.766666,mtGen03,A,Guam,,,
104029,13.6,144.783333,,A,Guam,,,
104050,15.3,145.7,NA,A,Saipan,,,
104052,15.316666,145.7,,A,Saipan,,,
104053,15.316666,145.683333,mtGen31,A,Saipan,,,
104054,15.3,145.666666,mtGen06,A,Saipan,,,
104055,15.3,145.666666,mtGen06,A,Saipan,,,
104056,15.3,145.666666,NA,A,Saipan,,,
104072,14.116666,145.116666,,A,Rota,,,
104073,14.116666,145.116666,NA,A,Rota,,,
104074,14.116666,145.116666,NA,A,Rota,,,
104075,14.116666,145.116666,mtGen80,A,Rota,,,
104077,14.116666,145.116666,NA,A,Rota,,,
104078,14.116666,145.1,mtGen06,A,Rota,,,
104079,14.116666,145.1,NA,A,Rota,,,
104105,15.016666,145.533333,,A,Saipan,,,
104106,15.016666,145.533333,NA,A,Saipan,,,
104107,15.016666,145.533333,,A,Saipan,,,
104108,15.016666,145.533333,NA,A,Saipan,,,
104109,15,145.533333,mtGen03,A,Saipan,,,
104110,15,145.533333,NA,A,Saipan,,,
108164,13.7,144.816666,NA,mtGen72,Guam,,,
108165,13.716666,144.8,,A,Guam,,,
108166,13.716666,144.8,mtGen72,mtGen72,Guam,,,
108182,14.783333,145.516666,mtGen03,A,Aguijan,,,
108184,14.783333,145.516666,,mtGen72,Aguijan,,,
108185,14.783333,145.516666,,mtGen72,Aguijan,,,
108188,15.033333,145.216666,mtGen06,A,Saipan/Tinian,,,
108189,15.05,145.233333,,A,Saipan/Tinian,,,
108221,13.4,144.6,,A,Guam West,,,
108222,13.4,144.6,mtGen03,A,Guam West,,,
108223,13.416666,144.6,mtGen81,A,Guam West,,,
112632,19.61637,-156.09267,NA,J,BIG ISLAND,,,
112633,19.62104,-156.09984,,J,BIG ISLAND,,,
112634,19.62252,-156.1002,NA,J,BIG ISLAND,,,
112635,19.71416,-156.0977,NA,J,BIG ISLAND,,,
112636,19.72396,-156.10204,NA,J,BIG ISLAND,,,
112637,19.6442,-156.08722,NA,J,BIG ISLAND,,,
112638,19.65574,-156.09169,NA,J,BIG ISLAND,,,
112639,19.66092,-156.09692,NA,J,BIG ISLAND,,,
112641,19.63952,-156.0835,NA,J,BIG ISLAND,,,
112642,19.70301,-156.09,NA,J,BIG ISLAND,,,
112646,19.53066,-156.05864,NA,J,BIG ISLAND,,,
112647,19.26446,-155.98657,NA,J,BIG ISLAND,,,
112648,19.26495,-155.98683,NA,J,BIG ISLAND,,,
112651,19.37518,-155.93036,,J,BIG ISLAND,,,
112652,19.38733,-155.93259,mtGen01,J,BIG ISLAND,,,
112653,19.38733,-155.93259,mtGen01,J,BIG ISLAND,,,
112654,19.39485,-155.93411,NA,J,BIG ISLAND,,,
112655,19.41901,-155.93748,NA,J,BIG ISLAND,,,
112658,19.68759,-156.09906,NA,J,BIG ISLAND,,,
112663,19.72881,-156.11512,,J,BIG ISLAND,,,
113642,20.5023,-157.02557,NA,J,LANAI,,,
113643,20.57597,-157.03028,,J,LANAI,,,
113647,20.83229,-157.13338,NA,J,LANAI,,,
113648,20.83648,-157.14003,,J,LANAI,,,
113653,20.74574,-157.09496,mtGen01,J,LANAI,,,
114352,19.84409,-156.14491,mtGen01,J,BIG ISLAND,,,
114353,19.58749,-156.07715,,J,BIG ISLAND,,,
114354,19.74095,-156.15067,mtGen01,J,BIG ISLAND,,,
114355,19.74095,-156.15067,,J,BIG ISLAND,,,
114356,19.74306,-156.15399,NA,J,BIG ISLAND,,,
114564,22.25834,-159.74448,NA,J,KAUAI,,,
114565,22.25793,-159.74695,mtGen05,J,KAUAI,,,
114805,19.63181,-156.08157,NA,J,BIG ISLAND,,,
114806,19.63673,-156.0842,NA,J,BIG ISLAND,,,
114807,19.66301,-156.06461,,J,BIG ISLAND,,,
114809,19.56811,-156.03191,NA,J,BIG ISLAND,,,
114813,19.64723,-156.05351,NA,J,BIG ISLAND,,,
114815,19.51197,-156.01724,NA,J,BIG ISLAND,,,
114816,19.51876,-156.02425,NA,J,BIG ISLAND,,,
114817,19.52009,-156.02519,NA,J,BIG ISLAND,,,
114818,19.30751,-155.93939,NA,J,BIG ISLAND,,,
114819,19.30297,-155.94437,NA,J,BIG ISLAND,,,
114820,19.42601,-156.02052,NA,J,BIG ISLAND,,,
114821,19.55028,-156.55028,NA,J,BIG ISLAND,,,
114822,19.45735,-156.00299,NA,J,BIG ISLAND,,,
114823,19.47389,-156.00401,,J,BIG ISLAND,,,
116827,13.519981,144.682678,NA,A,6.7km NE Orote Pt.,,,
116828,13.528221,144.686133,,A,6.7km NE Orote Pt.,,,
116829,13.535795,144.692987,NA,A,12.7km NE Orote Pt.,,,
116830,13.567252,144.716749,,A,12.7km NE Orote Pt.,,,
116836,13.420477,144.604598,NA,A,4.76km SSW Orote Pt.,,,
116837,13.424485,144.60465,NA,A,4.76km SSW Orote Pt.,,,
116838,13.428113,144.604877,,A,4.76km SSW Orote Pt.,,,
116840,13.434738,144.600837,,A,4.76km SSW Orote Pt.,,,
123263,19.7,-156.15,,J,BIG ISLAND,,,
123339,19.783333,-159.7,,J,BIG ISLAND,,,
123340,19.783333,-159.7,NA,J,BIG ISLAND,,,
123341,19.783333,-159.7,,J,BIG ISLAND,,,
123342,20.683333,-159.566666,NA,J,LANAI,,,
123361,24.05,-165.6,NA,J,Papahanaumokuakea Marine National Monument,,,
123362,24.05,-165.6,,J,Papahanaumokuakea Marine National Monument,,,
123369,23.2,-162.466666,mtGen05,J,Papahanaumokuakea Marine National Monument,,,
124781,22.35,-159.366666,,J,KAUAI,,,
124782,22.35,-159.366666,,J,KAUAI,,,
136820,9.0842,123.1926,mtGen83,mtGen83,ZAMBOANGUITA,,,
143717,13.413403,144.615846,mtGen84,A,"Guam, 1km S Orote Pt.",,,
143718,13.402227,144.609589,mtGen03,A,"Guam, 1km S Orote Pt.",,,
143728,13.37176,144.614463,NA,A,"Guam, 2.8km WNW Agat Marina",,,
143729,13.369804,144.615655,,A,"Guam, 2.8km WNW Agat Marina",,,
143730,13.367293,144.618031,NA,A,"Guam, 2.8km WNW Agat Marina",,,
143741,14.237415,145.273834,mtGen06,A,"Rota, 4km NE Rota east tip",,,
143742,14.241949,145.274043,,A,"Rota, 4km NE Rota east tip",,,
143743,14.247953,145.277788,NA,A,"Rota, 4km NE Rota east tip",,,
143744,14.249593,145.276074,NA,17,"Rota, 4km NE Rota east tip",,,
143745,14.250212,145.274781,NA,17,"Rota, 4km NE Rota east tip",,,
143746,14.253849,145.269403,NA,A,"Rota, 4km NE Rota east tip",,,
143747,14.254425,145.267652,NA,A,"Rota, 4km NE Rota east tip",,,
143748,14.253382,145.260532,NA,A,"Rota, 4km NE Rota east tip",,,
143749,14.255273,145.253446,mtGen03,A,"Rota, 4km NE Rota east tip",,,
143750,14.095626,145.272781,mtGen03,A,"Rota, 10km SE Rota southernmost tip",,,
143751,14.114219,145.287332,,A,"Rota, 10km SE Rota southernmost tip",,,
156865,19.5249,-156.34032,,J,BIG ISLAND,,,
157265,-23.6651,43.6376,mtGen22,mtGen22,Anakao,,,
157376,-13.5524,47.761,mtGen86,mtGen86,Nosy Iranja,,,
157377,-13.5524,47.761,mtGen87,mtGen87,Nosy Iranja,,,
157436,-13.5524,47.761,mtGen33,mtGen33,Nosy Iranja,,,
157437,-13.5524,47.761,mtGen22,mtGen22,Nosy Iranja,,,
174885,-17.466,-149.8442,mtGen21,mtGen21,Moorea,,,
174893,-13.3035,-172.6256,mtGen21,mtGen21,,,,
174894,-13.3035,-172.6256,mtGen88,mtGen88,Savai'i,,,
11496,2.316666,-106.733333,mtGen39,2,IFS,,,
11985,-0.416666,-94.65,mtGen42,2,ECUADOR,,,
18290,6.9,-81.666666,,2,PANAMA,,,
18295,6.9,-81.666666,,2,PANAMA,,,
18297,6.9,-81.666666,,2,PANAMA,,,
18298,6.9,-81.666666,mtGen49,2,PANAMA,,,
37767,-8.516666,-91.266666,,2,ETP IFS,,,
37768,-8.516666,-91.266666,,2,ETP IFS,,,
37769,-8.516666,-91.266666,,2,ETP IFS,,,
37770,-8.516666,-91.266666,,2,ETP IFS,,,
37771,-8.516666,-91.266666,,2,ETP IFS,,,
37772,-8.516666,-91.266666,mtGen58,2,ETP IFS,,,
37773,-8.516666,-91.266666,,2,ETP IFS,,,
37774,-8.516666,-91.266666,,2,ETP IFS,,,
37896,25.583333,-119.266666,mtGen62,3,MEXICO IFS,,,
37897,25.583333,-119.266666,,2,MEXICO IFS,,,
38314,23.016666,-116.5,mtGen64,2,MEXICO IFS,,,
12081,7.283333,-78.266666,,4,PANAMA,,,
222,37.7,141.8,,M,NORTHERN JAPAN (MARKET),,,
159,38.14,141.14,,E,NORTHERN JAPAN (MARKET),,,
160,38.14,141.14,,E,NORTHERN JAPAN (MARKET),,,
161,38.14,141.14,,E,NORTHERN JAPAN (MARKET),,,
162,38.14,141.14,,E,NORTHERN JAPAN (MARKET),,,
163,38.14,141.14,,E,NORTHERN JAPAN (MARKET),,,
164,38.14,141.14,,E,NORTHERN JAPAN (MARKET),,,
165,38.16,141.7,,E,NORTHERN JAPAN,,,
166,38.16,141.7,,E,NORTHERN JAPAN,,,
167,38.16,141.7,,E,NORTHERN JAPAN,,,
168,38.16,141.7,,E,NORTHERN JAPAN,,,
169,3.93,-85.2,,E,NORTHERN JAPAN,,,
170,38.05,141.34,,F,NORTHERN JAPAN (MARKET),,,
1297,35.25,-122.566666,mtGen35,E,OFFSHORE,,,
1685,41.45,-125.483333,mtGen02,E,OFFSHORE,,,
1737,41.466666,-125.516666,,E,OFFSHORE,,,
1738,41.466666,-125.516666,,E,OFFSHORE,,,
1739,41.466666,-124.516666,NA,E,OFFSHORE,,,
1864,36.066666,-122.85,mtGen09,E,OFFSHORE,,,
4629,26.5,-111,,E,GULF OF CALIFORNIA,,,
4630,26.5,-111,mtGen74,E,GULF OF CALIFORNIA,,,
4642,27.3,-112.05,mtGen09,E,GULF OF CALIFORNIA,,,
4644,27.3,-112.05,,E,GULF OF CALIFORNIA,,,
4645,27.3,-112.05,,E,GULF OF CALIFORNIA,,,
4682,25.783333,-110.983333,mtGen36,9,GULF OF CALIFORNIA,,,
4684,25.783333,-110.983333,,E,GULF OF CALIFORNIA,,,
4986,24.75,-113.2,mtGen02,E,NPAC IFS,,,
4987,24.75,-113.2,,E,NPAC IFS,,,
4988,24.75,-113.2,,E,NPAC IFS,,,
5765,32.25,-118.95,,E,OFFSHORE,,,
5766,32.25,-118.95,mtGen02,E,OFFSHORE,,,
5767,32.25,-118.95,,E,OFFSHORE,,,
7618,31.983333,-118.583333,mtGen09,E,OFFSHORE,,,
8752,34.6,-121.9,mtGen02,E,OFFSHORE,,,
11454,2.033333,-113.066666,mtGen38,E,ETP IFS,,,
11455,2.033333,-113.066666,,E,ETP IFS,,,
11456,2.033333,-113.066666,,E,ETP IFS,,,
11513,28.633333,-115.1,,E,BAJA,,,
11514,28.633333,-115.1,,E,BAJA,,,
11515,28.566666,-115.166666,mtGen40,E,BAJA,,,
11525,26.45,-114,,E,BAJA,,,
11526,26.45,-114,mtGen02,E,BAJA,,,
11527,26.45,-114,,E,BAJA,,,
11528,26.45,-114,,E,BAJA,,,
11872,10.116666,-90,,E,EL SALVADOR,,,
11873,10.116666,-90,mtGen41,E,EL SALVADOR,,,
11874,10.116666,-90,,E,EL SALVADOR,,,
11936,9.083333,-84.983333,,E,COSTA RICA,,,
11937,9.083333,-84.983333,,E,COSTA RICA,,,
11938,9.083333,-84.983333,,E,COSTA RICA,,,
11939,9.083333,-84.983333,,E,COSTA RICA,,,
11940,9.083333,-84.983333,,E,COSTA RICA,,,
11941,9.083333,-84.983333,,E,COSTA RICA,,,
11942,9.083333,-84.983333,,E,COSTA RICA,,,
11943,9.083333,-84.983333,mtGen15,E,COSTA RICA,,,
11954,7.2,-82.05,mtGen16,E,PANAMA,,,
11955,7.2,-82.05,,E,PANAMA,,,
11956,7.2,-82.05,,E,PANAMA,,,
11957,7.033333,-82.05,,E,PANAMA,,,
11958,7.033333,-82.05,,E,PANAMA,,,
11977,10.433333,-110.866666,mtGen28,5,CLIPPERTON IS.,,,
11978,10.433333,-110.866666,,5,CLIPPERTON IS.,,,
12008,-1.133333,-91.116666,,6,ECUADOR,,,
12009,-1.133333,-91.116666,mtGen43,6,ECUADOR,,,
12010,-1.133333,-91.116666,,6,ECUADOR,,,
12011,-1.133333,-91.116666,,E,ECUADOR,,,
12012,-1.133333,-91.116666,,6,ECUADOR,,,
12013,-1.133333,-91.116666,,6,ECUADOR,,,
12014,-1.133333,-91.116666,,6,ECUADOR,,,
12015,-1.133333,-91.116666,,6,ECUADOR,,,
12016,-1.133333,-91.116666,,6,ECUADOR,,,
12027,-2,-81.3,,E,ECUADOR,,,
12028,-2,-81.3,,E,ECUADOR,,,
12029,-2,-81.3,mtGen44,E,ECUADOR,,,
12030,-2,-81.3,mtGen45,7,ECUADOR,,,
12088,7,-81.483333,NA,E,PANAMA,,,
12089,7,-81.483333,,E,PANAMA,,,
12090,7,-81.483333,,E,PANAMA,,,
12091,7,-81.483333,,E,PANAMA,,,
12092,7,-81.483333,NA,E,PANAMA,,,
12093,7,-81.483333,,E,PANAMA,,,
12094,7,-81.483333,,E,PANAMA,,,
12095,7,-81.483333,mtGen02,E,PANAMA,,,
12096,7,-81.483333,,E,PANAMA,,,
12097,7,-81.483333,,E,PANAMA,,,
12098,7,-81.483333,NA,E,PANAMA,,,
16046,8.333333,-83.75,,E,COSTA RICA,,,
16047,8.333333,-83.75,mtGen17,E,COSTA RICA,,,
16048,8.333333,-83.75,,E,COSTA RICA,,,
16049,8.333333,-83.75,,E,COSTA RICA,,,
16050,8.333333,-83.75,,E,COSTA RICA,,,
16051,8.333333,-83.75,,E,COSTA RICA,,,
16052,8.333333,-83.75,,E,COSTA RICA,,,
16056,-8.8,-95.6,NA,E,ETP IFS,,,
16076,-6.183333,-85.083333,,E,ETP IFS,,,
16077,-6.183333,-85.083333,,E,ETP IFS,,,
16078,-6.183333,-85.083333,,E,ETP IFS,,,
16079,-6.183333,-85.083333,mtGen47,E,ETP IFS,,,
16080,-6.183333,-85.083333,,E,ETP IFS,,,
16081,-6.183333,-85.083333,,E,ETP IFS,,,
16082,-6.183333,-85.083333,,E,ETP IFS,,,
16083,-6.183333,-85.083333,,E,ETP IFS,,,
16167,8.45,-94.75,mtGen16,E,ETP IFS,,,
16168,8.45,-94.75,,E,ETP IFS,,,
17970,26.916666,-114.783333,,E,BAJA,,,
17971,26.916666,-114.783333,,E,BAJA,,,
17972,26.916666,-114.783333,,E,BAJA,,,
17973,26.916666,-114.783333,,E,BAJA,,,
17974,26.916666,-114.783333,,E,BAJA,,,
17976,26.916666,-114.783333,,E,BAJA,,,
17977,26.916666,-114.783333,mtGen02,E,BAJA,,,
17978,26.916666,-114.783333,,E,BAJA,,,
17979,26.916666,-114.783333,,E,BAJA,,,
17980,26.916666,-114.783333,,E,BAJA,,,
17981,26.916666,-114.783333,mtGen29,E,BAJA,,,
17982,26.916666,-114.783333,,E,BAJA,,,
18185,8.066666,-104.766666,,E,ETP IFS,,,
18186,8.066666,-104.766666,NA,E,ETP IFS,,,
18187,8.066666,-104.766666,,E,ETP IFS,,,
18188,8.066666,-104.766666,,E,ETP IFS,,,
18189,8.066666,-104.766666,,E,ETP IFS,,,
18190,8.066666,-104.766666,,E,ETP IFS,,,
18191,8.066666,-104.766666,mtGen02,E,ETP IFS,,,
18192,8.066666,-104.766666,NA,E,ETP IFS,,,
18193,8.066666,-104.766666,,E,ETP IFS,,,
18195,8.066666,-104.766666,,E,ETP IFS,,,
18259,8.166666,-83.4,,E,COSTA RICA,,,
18260,8.166666,-83.4,,E,COSTA RICA,,,
18261,8.166666,-83.4,mtGen17,E,COSTA RICA,,,
18289,6.9,-81.666666,,E,PANAMA,,,
18291,6.9,-81.666666,,E,PANAMA,,,
18292,6.9,-81.666666,,E,PANAMA,,,
18293,6.9,-81.666666,mtGen48,E,PANAMA,,,
18294,6.9,-81.666666,,E,PANAMA,,,
18296,6.9,-81.666666,,E,PANAMA,,,
25546,44.433333,-124.083333,mtGen02,E,OREGON,,,
37746,5.166666,-94.666666,mtGen02,E,ETP IFS,,,
37747,5.183333,-94.6,,E,ETP IFS,,,
37748,5.183333,-94.6,NA,E,ETP IFS,,,
37749,5.183333,-94.6,,E,ETP IFS,,,
37750,5.183333,-94.6,,E,ETP IFS,,,
37752,6.733333,-91.283333,mtGen30,E,ETP IFS,,,
37753,1.55,-89.3,mtGen56,E,ECUADOR,,,
37764,-8.866666,-93.3,,10,ETP IFS,,,
37765,-8.866666,-93.3,,10,ETP IFS,,,
37766,-8.866666,-93.3,mtGen57,10,ETP IFS,,,
37781,-11.95,-88.183333,mtGen59,E,ETP IFS,,,
37782,-14.733333,-84.766666,,E,ETP IFS,,,
37783,-14.733333,-84.766666,mtGen60,8,ETP IFS,,,
37784,-14.733333,-84.766666,,E,ETP IFS,,,
37785,-14.733333,-84.766666,,E,ETP IFS,,,
37786,-14.733333,-84.766666,,8,ETP IFS,,,
37787,-14.733333,-84.766666,,E,ETP IFS,,,
37788,-14.733333,-84.766666,mtGen61,E,ETP IFS,,,
37789,-14.733333,-84.766666,,E,ETP IFS,,,
37790,-14.733333,-84.766666,,8,ETP IFS,,,
37791,-14.733333,-84.766666,,E,ETP IFS,,,
37876,8.566666,-85.916666,,E,COSTA RICA,,,
37877,8.566666,-85.916666,,E,COSTA RICA,,,
37878,8.566666,-85.916666,,E,COSTA RICA,,,
37879,8.566666,-85.916666,NA,E,COSTA RICA,,,
37881,8.566666,-85.916666,NA,E,COSTA RICA,,,
37882,8.566666,-85.916666,NA,E,COSTA RICA,,,
37883,8.566666,-85.916666,,E,COSTA RICA,,,
37884,8.566666,-85.916666,mtGen15,E,COSTA RICA,,,
37885,8.566666,-85.916666,NA,E,COSTA RICA,,,
37907,27.616666,-115.166666,mtGen02,E,BAJA,,,
38312,22.8,-116.616666,mtGen63,E,MEXICO IFS,,,
38313,22.8,-116.616666,,E,MEXICO IFS,,,
67152,-11.133333,-93.15,,10,ETP IFS,,,
67165,0.216666,-95.416666,,10,ETP IFS,,,
124027,41.05,-124.116666,mtGen82,mtGen82,"Luffenholtz Beach, California",,,